[BEGIN] 2016/5/13 11:40:16
ps -ef  
UID        PID  PPID  C STIME TTY          TIME CMD
root     11224     1  0  2015 ?        00:00:00 /usr/sbin/sshd
root     13239     1  9 Apr29 ?        1-07:34:33 /data/mongodb/service/mongodb-linux-x86_64-2.6.6-ent/bin/mongod -f /data/mongodb/config/mongodb.conf
root     15854 25986  0 11:40 pts/2    00:00:00 ps -ef
root     16296 11224  0 10:42 ?        00:00:00 sshd: admin [priv]
zabbix   16420     1  0 Jan21 ?        00:00:00 /usr/local/zabbix/sbin/zabbix_agentd
zabbix   16422 16420  0 Jan21 ?        01:13:19 /usr/local/zabbix/sbin/zabbix_agentd: collector [idle 1 sec]
zabbix   16423 16420  0 Jan21 ?        00:09:28 /usr/local/zabbix/sbin/zabbix_agentd: listener #1 [waiting for connection]
zabbix   16424 16420  0 Jan21 ?        00:09:27 /usr/local/zabbix/sbin/zabbix_agentd: listener #2 [waiting for connection]
zabbix   16425 16420  0 Jan21 ?        00:09:29 /usr/local/zabbix/sbin/zabbix_agentd: listener #3 [waiting for connection]
zabbix   16426 16420  0 Jan21 ?        00:35:00 /usr/local/zabbix/sbin/zabbix_agentd: active checks #1 [idle 1 sec]
admin    16431 16296  0 10:43 ?        00:00:00 sshd: admin@pts/0
admin    16432 16431  0 10:43 pts/0    00:00:00 -bash
root     17424 11224  0 10:45 ?        00:00:00 sshd: admin [priv]
admin    17453 17424  0 10:45 ?        00:00:00 sshd: admin@pts/1
admin    17455 17453  0 10:45 pts/1    00:00:00 -bash
root     17979   614  0  2015 ?        00:00:00 /sbin/udevd -d
root     17980   614  0  2015 ?        00:00:00 /sbin/udevd -d
root     19362 11224  0 10:53 ?        00:00:00 sshd: admin [priv]
admin    19399 19362  0 10:54 ?        00:00:01 sshd: admin@pts/2
admin    19400 19399  0 10:54 pts/2    00:00:00 -bash
